ID	Population	Taxon	HWe	HW	IFW1	IFW2	HL1	HL2	ScL	EL	Om	WL	PL	PPL	GL	HFL	PrW	hw1	hw2	hw3	CI	FLI	SI	notch	EI	FLD	CEI
serico57	OPA_1	OPA	0.95	0.95	0.592	0.208	0.92	0.84	0.651	0.144	9	1.178	0.279	0.192	0.868	0.95	0.608	0.806	0.961	0.64	103.26	62.32	68.53	0.08	15.16	0.38	8.42
serico58	OPA_1	OPA	0.94	0.94	0.608	0.224	0.9	0.82	0.675	0.16	8	1.225	0.26	0.22	0.925	1	0.64	0.875	1	0.624	104.44	64.68	71.81	0.08	17.02	0.38	8.51
serico59	PAR	PAR	0.88	0.9	0.64	0.256	0.925	0.825	0.6	0.144	7	1.175	0.275	0.2	0.85	0.896	0.62	0.9	1.04	0.62	95.14	72.73	68.18	0.1	16.36	0.38	11.36
serico60	PAR	PAR	0.9	0.9	0.64	0.224	0.868	0.775	0.592	0.144	7	1.085	0.26	0.18	0.806	0.875	0.625	0.875	1	0.6	103.69	71.11	65.78	0.09	16	0.42	10.33
serico61	OPA_1	OPA	0.868	0.899	0.608	0.208	0.9	0.82	0.64	0.15	8	1.15	0.275	0.2	0.875	0.899	0.576	0.837	0.93	0.56	96.44	70.05	73.73	0.08	17.28	0.4	9.22
serico62	OPA_1	OPA	0.875	0.875	0.608	0.208	0.84	0.76	0.6	0.144	NA	1.054	0.225	0.15	0.806	0.9	0.6	0.82	0.925	0.575	104.17	69.49	68.57	0.08	16.46	0.4	9.14
serico63	OPA_1	OPA	0.9	0.9	0.624	0.224	0.88	0.8	0.608	0.126	NA	1.116	0.25	0.18	0.9	0.899	0.6	0.84	0.96	0.6	102.27	69.33	67.56	0.08	14	0.4	8.89
serico64	OPA_3	OPA	0.9	0.92	0.6	0.162	0.896	0.8	0.64	0.126	8	1.125	0.25	0.2	0.837	0.975	0.589	0.837	0.992	0.64	100.45	66.67	71.11	0.1	14	0.44	10.67
serico65	OPA_3	OPA	0.86	0.86	0.576	0.192	0.85	0.775	0.6	0.136	8	1.05	0.225	0.175	0.775	0.875	0.56	0.8	0.9	0.56	101.18	66.98	69.77	0.08	15.81	0.38	8.72
serico66	OPA_3	OPA	0.86	0.86	0.6	0.2	0.85	0.775	0.64	0.136	9	1.125	0.2	0.153	0.775	0.92	0.522	0.8	0.9	0.58	101.18	69.77	74.42	0.08	15.81	0.4	8.72
serico67	OPA_3	OPA	0.9	0.94	0.625	0.171	0.9	0.8	0.7	0.135	8	1.1	0.225	0.224	0.88	0.975	0.592	0.88	1	0.64	100	69.44	77.78	0.1	15	0.45	11.11
serico68	OPA_3	OPA	0.9	0.9	0.608	0.192	0.9	0.825	0.625	0.144	7	1.125	0.24	0.175	0.837	0.928	0.592	0.85	0.95	0.576	100	67.56	69.44	0.08	16	0.42	8.33
serico69	SCR	SCR	1	NA	0.78	0.22	1	0.9	0.68	0.171	13	1.25	0.24	0.248	0.95	1.072	0.704	1.025	1.1	0.7	100	78	68	0.1	17.1	0.56	10
serico70	SCR	SCR	1	0.98	0.76	0.288	0.975	0.875	0.725	0.22	12	1.275	0.336	0.24	0.95	1.16	0.65	0.95	1.05	0.675	102.56	76	72.5	0.1	22	0.47	10
serico71	SCR	SCR	1.05	1.025	0.8	0.275	1	0.875	0.713	0.232	14	1.3	0.336	0.24	0.94	1.225	0.704	1	1.125	0.85	105	76.19	67.9	0.13	22.1	0.53	11.9
serico72	SCR	SCR	1.06	1.02	0.8	0.304	1	0.88	0.725	0.24	13	1.4	0.368	0.272	0.92	1.209	0.7	1	1.085	0.8	106	75.47	68.4	0.12	22.64	0.5	11.32
serico73	SCR	SCR	0.975		0.75	0.22	1	0.875	0.725	0.224	14	1.333	0.288	0.24	0.88	1.116	0.7	0.93	1.054	0.62	97.5	76.92	74.36	0.13	22.97	0.53	12.82
serico74	SCR	SCR	1.05	1.025	0.768	0.256	1	0.875	0.725	0.24	12	1.35	0.3	0.275	0.93	1.125	0.713	0.93	1.054	0.713	105	73.14	69.05	0.13	22.86	0.51	11.9
serico75	SCR	SCR	1.025	1	0.768	0.3	0.975	0.85	0.74	0.21	12	1.275	0.264	0.256	0.899	1.152	0.675	0.96	1.06	0.608	105.13	74.93	72.2	0.13	20.49	0.47	12.2
serico76	SCR	SCR	0.98	0.95	0.752	0.24	0.95	0.875	0.752	0.176	11	1.24	0.336	0.24	0.93	0.961	0.75	1	1.06	0.64	103.16	76.73	76.73	0.08	17.96	0.51	7.65
serico77	SCR	SCR	1.02	1	0.768	0.272	0.98	0.86	NA	0.18	13	1.333	0.3	0.26	0.961	1.08	0.725	1	1.08	0.66	104.08	75.29	NA	0.12	17.65	0.5	11.76
serico78	SCR	SCR	1.05	1.05	0.8	0.3	1	0.875	0.725	0.189	13	1.302	0.36	0.24	0.961	1.125	0.768	1.04	1.1	0.7	105	76.19	69.05	0.13	18	0.5	11.9
serico79	SCR	SCR	0.961	0.96	0.8	0.28	0.961	0.837	0.682	0.189	12	1.325	0.288	0.26	0.961	1.085	0.72	1.02	1.1	0.7	100	83.25	70.97	0.12	19.67	0.52	12.9
serico80	SCR	SCR	1.12	1.023	0.825	0.3	1.1	0.975	0.775	0.198	14	1.364	0.35	0.275	1.08	1.26	0.8	1.125	1.2	0.75	101.82	73.66	69.2	0.13	17.68	0.53	11.16
serico81	SCR	SCR	0.975	0.925	0.775	0.32	0.975	0.85	0.675	0.171	13	1.271	0.3	0.25	0.95	0.961	0.725	0.93	1.085	0.62	100	79.49	69.23	0.13	17.54	0.46	12.82
serico82	SCR	SCR	0.93	0.899	0.682	0.275	0.9	0.8	0.64	0.153	11	1.116	0.25	0.24	0.744	0.96	0.64	0.92	1	0.6	103.33	73.33	68.82	0.1	16.45	0.41	10.75
serico83	SCR	SCR	0.84	0.82	0.66	0.22	0.8	0.72	0.62	0.154	11	1.125	0.248	0.2	0.8	0.928	0.625	0.825	0.875	0.55	105	78.57	73.81	0.08	18.33	0.44	9.52
serico84	SCR	SCR	1	0.93	0.775	0.26	0.95	0.825	0.72	0.224	14	1.271	0.256	0.256	0.95	1.2	0.64	0.93	0.992	0.682	105.26	77.5	72	0.13	22.4	0.52	12.5
serico85	SCR	SCR	1.025	1	0.784	0.304	1	0.875	0.72	0.216	13	1.36	0.304	0.272	0.961	1.175	0.704	1.04	1.075	0.688	102.5	76.49	70.24	0.13	21.07	0.48	12.2
serico86	SCR	SCR	1.05	1	0.8	0.3	1	0.88	0.744	0.207	13	1.36	0.3	0.28	0.9	1.175	0.672	1	1.08	0.68	105	76.19	70.86	0.12	19.71	0.5	11.43
serico87	SCR	SCR	1	0.925	0.74	0.26	0.93	0.806	0.7	0.21	13	1.24	0.26	0.24	0.92	1.152	0.656	0.93	1.023	0.651	107.53	74	70	0.12	21	0.48	12.4
serico88	SCR	SCR	0.992	1	0.75	0.275	1	0.875	0.744	0.216	12	1.325	0.372	0.26	0.96	1.2	0.72	1	1.08	0.72	99.2	75.6	75	0.13	21.77	0.48	12.6
serico89	SCR	SCR	0.975	0.95	0.704	0.25	0.975	0.85	0.651	0.2	12	1.275	0.341	0.25	0.85	1.104	0.656	0.95	1.05	0.688	100	72.21	66.77	0.13	20.51	0.45	12.82
serico90	SCR	SCR	0.9	0.9	0.688	0.256	0.9	0.8	0.65	0.21	12	1.15	0.24	0.224	0.88	1.025	0.656	0.925	1	0.608	100	76.44	72.22	0.1	23.33	0.43	11.11
serico91	SCR	SCR	0.96	0.96	0.7	0.24	0.875	0.775	0.65	0.18	11	1.28	0.3	NA	NA	1.075	0.672	0.95	1.025	0.7	109.71	72.92	67.71	0.1	18.75	0.46	10.42
serico92	SCR	SCR	1	0.975	0.74	0.24	0.899	0.806	0.62	0.175	12	1.271	0.31	0.217	0.96	1.072	0.656	0.93	1.054	0.62	111.23	74	62	0.09	17.5	0.5	9.3
serico93	SCR	SCR	0.992	0.992	0.8	0.3	1.025	0.875	0.75	0.198	12	1.333	0.341	0.279	0.93	1.116	0.72	0.992	1.116	0.682	96.78	80.65	75.6	0.15	19.96	0.5	15.12
serico94	SCR	SCR	0.98	0.98	0.736	0.256	0.95	0.85	0.651	0.192	11	1.325	0.275	0.25	0.837	1.1	0.672	0.92	1.04	0.64	103.16	75.1	66.43	0.1	19.59	0.48	10.2
serico95	SCR	SCR	1.025	1	0.8	0.28	0.975	0.875	0.651	0.162	12	1.375	0.375	0.25	0.925	1.085	0.744	1.054	1.116	0.68	105.13	78.05	63.51	0.1	15.8	0.52	9.76
serico96	SCR	SCR	1.023	1.023	0.82	0.32	1	0.875	0.725	0.171	11	1.35	0.3	0.26	1.04	1.12	0.75	1.054	1.116	0.682	102.3	80.16	70.87	0.13	16.72	0.5	12.22
serico97	SCR	SCR	1.025	1	0.8	0.275	0.95	0.85	0.682	0.171	12	1.302	0.279	0.248	0.961	1.054	0.688	1.023	1.085	0.68	107.89	78.05	66.54	0.1	16.68	0.53	9.76
serico98	SCR	SCR	1.05	1.05	0.84	0.3	0.992	0.868	0.682	0.171	12	1.36	0.34	0.26	0.96	1.085	0.76	1.054	1.116	0.682	105.85	80	64.95	0.12	16.29	0.54	11.81
serico99	SCR	SCR	1	0.95	0.72	0.25	0.96	0.84	0.7	0.224	13	1.271	0.352	0.26	1	1.15	0.74	1	1.05	0.725	104.17	72	70	0.12	22.4	0.47	12
